 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Solens kærtegn har sluppet de sarte blade ud af deres skjul, og midt i det hele gemmer løfterne om kommende blomster sig.
1-1	Solens	B-noun.phenomenon	
68-4	,	O	
68-5	hvis	O	
68-6	du	O	
68-7	er	O	
68-8	på	O	
68-9	måske	O	
68-10	-	O	
68-11	listen	O	
68-12	og	O	
68-13	gerne	O	
68-14	vil	O	
68-15	flyttes	O	
68-16	til	O	
68-17	jeg	O	
68-18	kommer	O	
68-19	-	O	
68-20	listen	O	
68-21	.	O	

#id=69
#text=Tags:eksamen, folkeskolens afgangsprøve, karakterer, præstation, stil
69-1	Tags	O	
69-2	:	O	
69-3	eksamen	O	
69-4	,	O	
69-5	folkeskolens	O	
69-6	afgangsprøve	O	
69-7	,	O	
69-8	karakterer	O	
69-9	,	O	
69-10	præstation	O	
69-11	,	O	
69-12	stil	O	

#id=70
#text=Damebladenesælger drømme.
70-1	Damebladene	O	
70-2	sælger	O	
70-3	drømme	O	
70-4	.	O	

#id=71
#text=Men så hørte almindeligheden også op.
71-1	Men	O	
71-2	så	O	
71-3	hørte	O	
71-4	almindeligheden	O	
71-5	også	O	
71-6	op	O	
71-7	.	O	

#id=72
#text=Ogdet gjorde jeg ikke, selv om jeg vidste, at opkaldet var på vej, for jeg kunne ikke høre telefonen.
72-1	Og	O	
72-2	det	O	
72-3	gjorde	O	
72-4	jeg	O	
72-5	ikke	O	
72-6	,	O	
72-7	selv	O	
72-8	om	O	
72-9	jeg	O	
72-10	vidste	O	
72-11	,	O	
72-12	at	O	
72-13	opkaldet	O	
72-14	var	O	
72-15	på	O	
72-16	vej	O	
72-17	,	O	
72-18	for	O	
72-19	jeg	O	
72-20	kunne	O	
72-21	ikke	O	
72-22	høre	O	
72-23	telefonen	O	
72-24	.	O	

#id=73
#text=Jeg er bestemt ikke blevet mildere stemt over for fænomenet, efter jeg  for et par uger siden læste en artikel i Politiken om, hvordan stifteren Mark Zuckerberg snuppede idéen til netværket fra nogle medstuderende på Harvard, der havde bedt om hans hjælp til at programmere deres site.
73-1	Jeg	O	
73-2	er	O	
73-3	bestemt	O	
73-4	ikke	O	
73-5	blevet	O	
73-6	mildere	O	
73-7	stemt	O	
73-8	over	O	
73-9	for	O	
73-10	fænomenet	O	
73-11	,	O	
73-12	efter	O	
73-13	jeg	O	
73-14	for	O	
73-15	et	O	
73-16	par	O	
73-17	uger	O	
73-18	siden	O	
73-19	læste	O	
73-20	en	O	
73-21	artikel	O	
73-22	i	O	
73-23	Politiken	O	
73-24	om	O	
73-25	,	O	
73-26	hvordan	O	
73-27	stifteren	O	
73-28	Mark	O	
73-29	Zuckerberg	O	
73-30	snuppede	O	
73-31	idéen	O	
73-32	til	O	
73-33	netværket	O	
73-34	fra	O	
73-35	nogle	O	
73-36	medstuderende	O	
73-37	på	O	
73-38	Harvard	O	
73-39	,	O	
73-40	der	O	
73-41	havde	O	
73-42	bedt	O	
73-43	om	O	
73-44	hans	O	
73-45	hjælp	O	
73-46	til	O	
73-47	at	O	
73-48	programmere	O	
73-49	deres	O	
73-50	site	O	
73-51	.	O	

#id=74
#text=Det er en  gratis, let og effektiv måde at holde sig orienteret på, og hver gang Googles søgerobot finder et nyt resultat, får jeg en mail med link til det.
74-1	Det	O	
74-2	er	O	
74-3	en	O	
74-4	gratis	O	
74-5	,	O	
74-6	let	O	
74-7	og	O	
74-8	effektiv	O	
74-9	måde	O	
74-10	at	O	
74-11	holde	O	
74-12	sig	O	
74-13	orienteret	O	
74-14	på	O	
74-15	,	O	
74-16	og	O	
74-17	hver	O	
74-18	gang	O	
74-19	Googles	O	
74-20	søgerobot	O	
74-21	finder	O	
74-22	et	O	
74-23	nyt	O	
74-24	resultat	O	
74-25	,	O	
74-26	får	O	
74-27	jeg	O	
74-28	en	O	
74-29	mail	O	
74-30	med	O	
74-31	link	O	
74-32	til	O	
74-33	det	O	
74-34	.	O	

#id=75
#text=Og der blev de liggende.
75-1	Og	O	
75-2	der	O	
75-3	blev	O	
75-4	de	O	
75-5	liggende	O	
75-6	.	O	

#id=76
#text=Derer udsigt til brænde, der skal stables, og venner, der skal beværtes.
76-1	Der	O	
76-2	er	O	
76-3	udsigt	O	
76-4	til	O	
76-5	brænde	O	
76-6	,	O	
76-7	der	O	
76-8	skal	O	
76-9	stables	O	
76-10	,	O	
76-11	og	O	
76-12	venner	O	
76-13	,	O	
76-14	der	O	
76-15	skal	O	
76-16	beværtes	O	
76-17	.	O	

#id=77
#text=Men i begge ægteskaber har retten til og behovet for adskillelse og det at forblive lidt ugift (nej, jeg taler ikke om utroskab!) været faste elementer.
77-1	Men	O	
77-2	i	O	
77-3	begge	O	
77-4	ægteskaber	O	
77-5	har	O	
77-6	retten	O	
77-7	til	O	
77-8	og	O	
77-9	behovet	O	
77-10	for	O	
77-11	adskillelse	O	
77-12	og	O	
77-13	det	O	
77-14	at	O	
77-15	forblive	O	
77-16	lidt	O	
77-17	ugift	O	
77-18	(	O	
77-19	nej	O	
77-20	,	O	
77-21	jeg	O	
77-22	taler	O	
77-23	ikke	O	
77-24	om	O	
77-25	utroskab	O	
77-26	!	O	
77-27	)	O	
77-28	været	O	
77-29	faste	O	
77-30	elementer	O	
77-31	.	O	

#id=78
#text=Men det er også nogenlunde det.
78-1	Men	O	
78-2	det	O	
78-3	er	O	
78-4	også	O	
78-5	nogenlunde	O	
78-6	det	O	
78-7	.	O	

#id=79
#text=I dag gjorde selskabet det.
79-1	I	O	
79-2	dag	O	
79-3	gjorde	O	
79-4	selskabet	O	
79-5	det	O	
79-6	.	O	

#id=80
#text=Men det er bestemt heller ikke en public service-kanals rolle at agere ukritisk spytslikker og propagandamaskine for det modsatte.
80-1	Men	O	
80-2	det	O	
80-3	er	O	
80-4	bestemt	O	
80-5	heller	O	
80-6	ikke	O	
80-7	en	O	
80-8	public	O	
80-9	service	O	
80-10	-	O	
80-11	kanals	O	
80-12	rolle	O	
80-13	at	O	
80-14	agere	O	
80-15	ukritisk	O	
80-16	spytslikker	O	
80-17	og	O	
80-18	propagandamaskine	O	
80-19	for	O	
80-20	det	O	
80-21	modsatte	O	
80-22	.	O	

#id=81
#text=Detværste ved hele operationen, synes teenageren, er at få lagt lokalbedøvelsen.
81-1	Det	O	
81-2	værste	O	
81-3	ved	O	
81-4	hele	O	
81-5	operationen	O	
81-6	,	O	
81-7	synes	O	
81-8	teenageren	O	
81-9	,	O	
81-10	er	O	
81-11	at	O	
81-12	få	O	
81-13	lagt	O	
81-14	lokalbedøvelsen	O	
81-15	.	O	

#id=82
#text=Føtex, genitiv, korrektur, korrekturlæsning, retskrivning
82-1	Føtex	O	
82-2	,	O	
82-3	genitiv	O	
82-4	,	O	
82-5	korrektur	O	
82-6	,	O	
82-7	korrekturlæsning	O	
82-8	,	O	
82-9	retskrivning	O	

#id=83
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
83-1	Du	O	
83-2	kan	O	
83-3	skrive	O	
83-4	en	O	
83-5	kommentar	O	
83-6	,	O	
83-7	eller	O	
83-8	sende	O	
83-9	et	O	
83-10	trackback	O	
83-11	fra	O	
83-12	dit	O	
83-13	eget	O	
83-14	site	O	
83-15	.	O	

#id=84
#text=Sådanhar vi det ikke her på matriklen (dog har manden i mit liv ført krig mod mælkebøtterne og ved ihærdighed (næsten) vundet).
84-1	Sådan	O	
84-2	har	O	
84-3	vi	O	
84-4	det	O	
84-5	ikke	O	
84-6	her	O	
84-7	på	O	
84-8	matriklen	O	
84-9	(	O	
84-10	dog	O	
84-11	har	O	
84-12	manden	O	
84-13	i	O	
84-14	mit	O	
84-15	liv	O	
84-16	ført	O	
84-17	krig	O	
84-18	mod	O	
84-19	mælkebøtterne	O	
84-20	og	O	
84-21	ved	O	
84-22	ihærdighed	O	
84-23	(	O	
84-24	næsten	O	
84-25	)	O	
84-26	vundet	O	
84-27	)	O	
84-28	.	O	

#id=85
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
85-1	Du	O	
85-2	kan	O	
85-3	skrive	O	
85-4	en	O	
85-5	kommentar	O	
85-6	,	O	
85-7	eller	O	
85-8	sende	O	
85-9	et	O	
85-10	trackback	O	
85-11	fra	O	
85-12	dit	O	
85-13	eget	O	
85-14	site	O	
85-15	.	O	

#id=86
#text=Her er det et skinnende nyt eksemplar på Frihedsbroen.
86-1	Her	O	
86-2	er	O	
86-3	det	O	
86-4	et	O	
86-5	skinnende	O	
86-6	nyt	O	
86-7	eksemplar	O	
86-8	på	O	
86-9	Frihedsbroen	O	
86-10	.	O	

#id=87
#text=Detteindlæg blev udgivet den mandag, 25. januar 2010 kl. 08:57 og er gemt i Katte, Min have.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
87-1	Dette	O	
87-2	indlæg	O	
87-3	blev	O	
87-4	udgivet	O	
87-5	den	O	
87-6	mandag	O	
87-7	,	O	
87-8	25	O	
87-9	.	O	
87-10	januar	O	
87-11	2010	O	
87-12	kl	O	
87-13	.	O	
87-14	08	O	
87-15	:	O	
87-16	57	O	
87-17	og	O	
87-18	er	O	
87-19	gemt	O	
87-20	i	O	
87-21	Katte	O	
87-22	,	O	
87-23	Min	O	
87-24	have	O	
87-25	.	O	
87-26	Du	O	
87-27	kan	O	
87-28	følge	O	
87-29	alle	O	
87-30	svar	O	
87-31	til	O	
87-32	dette	O	
87-33	indlæg	O	
87-34	via	O	
87-35	RSS	O	
87-36	2	O	
87-37	.	O	
87-38	0	O	
87-39	-	O	
87-40	feedet	O	
87-41	.	O	

#id=88
#text=Og så selvfølgelig lige den, som diverse data foretager via VPNen.
88-1	Og	O	
88-2	så	O	
88-3	selvfølgelig	O	
88-4	lige	O	
88-5	den	O	
88-6	,	O	
88-7	som	O	
88-8	diverse	O	
88-9	data	O	
88-10	foretager	O	
88-11	via	O	
88-12	VPNen	O	
88-13	.	O	

#id=89
#text=Mentil gengæld syntes vi alle, at eftermiddagen blev bare en lille smule lysere.
89-1	Men	O	
89-2	til	O	
89-3	gengæld	O	
89-4	syntes	O	
89-5	vi	O	
89-6	alle	O	
89-7	,	O	
89-8	at	O	
89-9	eftermiddagen	O	
89-10	blev	O	
89-11	bare	O	
89-12	en	O	
89-13	lille	O	
89-14	smule	O	
89-15	lysere	O	
89-16	.	O	

#id=90
#text=Eller måske skulle jeg holde mig til det her tempo?
90-1	Eller	O	
90-2	måske	O	
90-3	skulle	O	
90-4	jeg	O	
90-5	holde	O	
90-6	mig	O	
90-7	til	O	
90-8	det	O	
90-9	her	O	
90-10	tempo	O	
90-11	?	O	

#id=91
#text=Som er al arbejdet værd.
91-1	Som	O	
91-2	er	O	
91-3	al	O	
91-4	arbejdet	O	
91-5	værd	O	
91-6	.	O	

#id=92
#text=Da den der type striber dukkede op igen i modebilledet her i foråret, havde jeg slet ikke lyst til at hoppe på vognen igen.
92-1	Da	O	
92-2	den	O	
92-3	der	O	
92-4	type	O	
92-5	striber	O	
92-6	dukkede	O	
92-7	op	O	
92-8	igen	O	
92-9	i	O	
92-10	modebilledet	O	
92-11	her	O	
92-12	i	O	
92-13	foråret	O	
92-14	,	O	
92-15	havde	O	
92-16	jeg	O	
92-17	slet	O	
92-18	ikke	O	
92-19	lyst	O	
92-20	til	O	
92-21	at	O	
92-22	hoppe	O	
92-23	på	O	
92-24	vognen	O	
92-25	igen	O	
92-26	.	O	

#id=93
#text=Tags:afstressning, arbejde, stress, træthed
93-1	Tags	O	
93-2	:	O	
93-3	afstressning	O	
93-4	,	O	
93-5	arbejde	O	
93-6	,	O	
93-7	stress	O	
93-8	,	O	
93-9	træthed	O	

#id=94
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
94-1	Du	O	
94-2	kan	O	
94-3	skrive	O	
94-4	en	O	
94-5	kommentar	O	
94-6	,	O	
94-7	eller	O	
94-8	sende	O	
94-9	et	O	
94-10	trackback	O	
94-11	fra	O	
94-12	dit	O	
94-13	eget	O	
94-14	site	O	
94-15	.	O	

#id=95
#text=Men der er nu alligevel en nist af julekortidyl i dag, for hele haven er dækket af kraftig rim, og de fire graders frost får det til at knase sprødt på græsplænen.
95-1	Men	O	
95-2	der	O	
95-3	er	O	
95-4	nu	O	
95-5	alligevel	O	
95-6	en	O	
95-7	nist	O	
95-8	af	O	
95-9	julekortidyl	O	
95-10	i	O	
95-11	dag	O	
95-12	,	O	
95-13	for	O	
95-14	hele	O	
95-15	haven	O	
95-16	er	O	
95-17	dækket	O	
95-18	af	O	
95-19	kraftig	O	
95-20	rim	O	
95-21	,	O	
95-22	og	O	
95-23	de	O	
95-24	fire	O	
95-25	graders	O	
95-26	frost	O	
95-27	får	O	
95-28	det	O	
95-29	til	O	
95-30	at	O	
95-31	knase	O	
95-32	sprødt	O	
95-33	på	O	
95-34	græsplænen	O	
95-35	.	O	

#id=96
#text=Gennemjobbet havde jeg købt billetter til koncert på Arken med Marie Carmen Koppel.
96-1	Gennem	O	
96-2	jobbet	O	
96-3	havde	O	
96-4	jeg	O	
96-5	købt	O	
96-6	billetter	O	
96-7	til	O	
96-8	koncert	O	
96-9	på	O	
96-10	Arken	O	
96-11	med	O	
96-12	Marie	O	
96-13	Carmen	O	
96-14	Koppel	O	
96-15	.	O	

#id=97
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
97-1	Du	O	
97-2	kan	O	
97-3	skrive	O	
97-4	en	O	
97-5	kommentar	O	
97-6	,	O	
97-7	eller	O	
97-8	sende	O	
97-9	et	O	
97-10	trackback	O	
97-11	fra	O	
97-12	dit	O	
97-13	eget	O	
97-14	site	O	
97-15	.	O	

#id=98
#text=Ikke fordi jeg ingen venner har (slet ikke!).
98-1	Ikke	O	
98-2	fordi	O	
98-3	jeg	O	
98-4	ingen	O	
98-5	venner	O	
98-6	har	O	
98-7	(	O	
98-8	slet	O	
98-9	ikke	O	
98-10	!	O	
98-11	)	O	
98-12	.	O	

#id=99
#text=Detteindlæg blev udgivet den fredag, 27. marts 2009 kl. 22:47 og er gemt i Katte.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
99-1	Dette	O	
99-2	indlæg	O	
99-3	blev	O	
99-4	udgivet	O	
99-5	den	O	
99-6	fredag	O	
99-7	,	O	
99-8	27	O	
99-9	.	O	
99-10	marts	O	
99-11	2009	O	
99-12	kl	O	
99-13	.	O	
99-14	22	O	
99-15	:	O	
99-16	47	O	
99-17	og	O	
99-18	er	O	
99-19	gemt	O	
99-20	i	O	
99-21	Katte	O	
99-22	.	O	
99-23	Du	O	
99-24	kan	O	
99-25	følge	O	
99-26	alle	O	
99-27	svar	O	
99-28	til	O	
99-29	dette	O	
99-30	indlæg	O	
99-31	via	O	
99-32	RSS	O	
99-33	2	O	
99-34	.	O	
99-35	0	O	
99-36	-	O	
99-37	feedet	O	
99-38	.	O	

#id=100
#text=Brænde i kurven.
100-1	Brænde	O	
100-2	i	O	
100-3	kurven	O	
100-4	.	O	

