 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Fordelene ved mentorordningen er, at den omfatter unge uden kompetencegivende uddannelse.
1-1	Fordelene	B-noun.attribute	
36-3	eksempel	O	
36-4	,	O	
36-5	de	O	
36-6	skal	O	
36-7	stille	O	
36-8	skarpt	O	
36-9	på	O	
36-10	,	O	
36-11	er	O	
36-12	det	O	
36-13	med	O	
36-14	grundlaget	O	
36-15	for	O	
36-16	at	O	
36-17	ophæve	O	
36-18	visse	O	
36-19	bestemmelser	O	
36-20	i	O	
36-21	kapitel	O	
36-22	24	O	
36-23	,	O	
36-24	specielt	O	
36-25	§	O	
36-26	221	O	
36-27	og	O	
36-28	§	O	
36-29	227	O	
36-30	,	O	
36-31	som	O	
36-32	forslagsstillerne	O	
36-33	også	O	
36-34	foreslår	O	
36-35	i	O	
36-36	beslutningsforslaget	O	
36-37	.	O	

#id=37
#text=Hvorfor vil Dansk Folkeparti ikke være med til at tage fra dem, der tjener allermest _ over 1 mio. kr. om året _ og give til vores fattige ældre?
37-1	Hvorfor	O	
37-2	vil	O	
37-3	Dansk	O	
37-4	Folkeparti	O	
37-5	ikke	O	
37-6	være	O	
37-7	med	O	
37-8	til	O	
37-9	at	O	
37-10	tage	O	
37-11	fra	O	
37-12	dem	O	
37-13	,	O	
37-14	der	O	
37-15	tjener	O	
37-16	allermest	O	
37-17	_	O	
37-18	over	O	
37-19	1	O	
37-20	mio	O	
37-21	.	O	
37-22	kr	O	
37-23	.	O	
37-24	om	O	
37-25	året	O	
37-26	_	O	
37-27	og	O	
37-28	give	O	
37-29	til	O	
37-30	vores	O	
37-31	fattige	O	
37-32	ældre	O	
37-33	?	O	

#id=38
#text=Hvordan kan man have noget imod, at det er tydeligt, at folk først får at vide, at de skal flytte sig eller gå væk, forsvinde, og at der ellers skrides til en præventiv anholdelse?
38-1	Hvordan	O	
38-2	kan	O	
38-3	man	O	
38-4	have	O	
38-5	noget	O	
38-6	imod	O	
38-7	,	O	
38-8	at	O	
38-9	det	O	
38-10	er	O	
38-11	tydeligt	O	
38-12	,	O	
38-13	at	O	
38-14	folk	O	
38-15	først	O	
38-16	får	O	
38-17	at	O	
38-18	vide	O	
38-19	,	O	
38-20	at	O	
38-21	de	O	
38-22	skal	O	
38-23	flytte	O	
38-24	sig	O	
38-25	eller	O	
38-26	gå	O	
38-27	væk	O	
38-28	,	O	
38-29	forsvinde	O	
38-30	,	O	
38-31	og	O	
38-32	at	O	
38-33	der	O	
38-34	ellers	O	
38-35	skrides	O	
38-36	til	O	
38-37	en	O	
38-38	præventiv	O	
38-39	anholdelse	O	
38-40	?	O	

#id=39
#text=Nuhar jeg i mine år lavet rigtig, rigtig meget frivilligt socialt arbejde og færdes blandt rigtig, rigtig mange forskellige mennesker.
39-1	Nu	O	
39-2	har	O	
39-3	jeg	O	
39-4	i	O	
39-5	mine	O	
39-6	år	O	
39-7	lavet	O	
39-8	rigtig	O	
39-9	,	O	
39-10	rigtig	O	
39-11	meget	O	
39-12	frivilligt	O	
39-13	socialt	O	
39-14	arbejde	O	
39-15	og	O	
39-16	færdes	O	
39-17	blandt	O	
39-18	rigtig	O	
39-19	,	O	
39-20	rigtig	O	
39-21	mange	O	
39-22	forskellige	O	
39-23	mennesker	O	
39-24	.	O	

#id=40
#text=De har en ganske særlig rolle, og det er jeg også sikker på at de selv er enige i.
40-1	De	O	
40-2	har	O	
40-3	en	O	
40-4	ganske	O	
40-5	særlig	O	
40-6	rolle	O	
40-7	,	O	
40-8	og	O	
40-9	det	O	
40-10	er	O	
40-11	jeg	O	
40-12	også	O	
40-13	sikker	O	
40-14	på	O	
40-15	at	O	
40-16	de	O	
40-17	selv	O	
40-18	er	O	
40-19	enige	O	
40-20	i	O	
40-21	.	O	

#id=41
#text=Sådet er faktisk alle pile, der peger på det her anlægsloft.
41-1	Så	O	
41-2	det	O	
41-3	er	O	
41-4	faktisk	O	
41-5	alle	O	
41-6	pile	O	
41-7	,	O	
41-8	der	O	
41-9	peger	O	
41-10	på	O	
41-11	det	O	
41-12	her	O	
41-13	anlægsloft	O	
41-14	.	O	

#id=42
#text=Benny Engelbrecht, m.fl. har fremsat et beslutningsforslag, der tager fat på  noget uhyre relevant, nemlig at det for nogle virksomheder kan betale sig at overtræde fødevarelovens vildledningsbestemmelser.
42-1	Benny	O	
42-2	Engelbrecht	O	
42-3	,	O	
42-4	m	O	
42-5	.	O	
42-6	fl	O	
42-7	.	O	
42-8	har	O	
42-9	fremsat	O	
42-10	et	O	
42-11	beslutningsforslag	O	
42-12	,	O	
42-13	der	O	
42-14	tager	O	
42-15	fat	O	
42-16	på	O	
42-17	noget	O	
42-18	uhyre	O	
42-19	relevant	O	
42-20	,	O	
42-21	nemlig	O	
42-22	at	O	
42-23	det	O	
42-24	for	O	
42-25	nogle	O	
42-26	virksomheder	O	
42-27	kan	O	
42-28	betale	O	
42-29	sig	O	
42-30	at	O	
42-31	overtræde	O	
42-32	fødevarelovens	O	
42-33	vildledningsbestemmelser	O	
42-34	.	O	

#id=43
#text=Det ønsker vi ikke.
43-1	Det	O	
43-2	ønsker	O	
43-3	vi	O	
43-4	ikke	O	
43-5	.	O	

#id=44
#text=Det giver ikke nogen fuldstændig klar afgrænsning, og det medfører et naturligt element af skøn i bestemmelsen af skatteudgifter.
44-1	Det	O	
44-2	giver	O	
44-3	ikke	O	
44-4	nogen	O	
44-5	fuldstændig	O	
44-6	klar	O	
44-7	afgrænsning	O	
44-8	,	O	
44-9	og	O	
44-10	det	O	
44-11	medfører	O	
44-12	et	O	
44-13	naturligt	O	
44-14	element	O	
44-15	af	O	
44-16	skøn	O	
44-17	i	O	
44-18	bestemmelsen	O	
44-19	af	O	
44-20	skatteudgifter	O	
44-21	.	O	

#id=45
#text=Mennu er jeg altså nødt til at spørge:
45-1	Men	O	
45-2	nu	O	
45-3	er	O	
45-4	jeg	O	
45-5	altså	O	
45-6	nødt	O	
45-7	til	O	
45-8	at	O	
45-9	spørge	O	
45-10	:	O	

#id=46
#text=Hvis man vil begynde at se på den anden vej, altså på, når ledigheden falder, så er det de kommuner, der i første omgang har haft et tab, der får en gevinst, og de andre kommuner, der har et tab.
46-1	Hvis	O	
46-2	man	O	
46-3	vil	O	
46-4	begynde	O	
46-5	at	O	
46-6	se	O	
46-7	på	O	
46-8	den	O	
46-9	anden	O	
46-10	vej	O	
46-11	,	O	
46-12	altså	O	
46-13	på	O	
46-14	,	O	
46-15	når	O	
46-16	ledigheden	O	
46-17	falder	O	
46-18	,	O	
46-19	så	O	
46-20	er	O	
46-21	det	O	
46-22	de	O	
46-23	kommuner	O	
46-24	,	O	
46-25	der	O	
46-26	i	O	
46-27	første	O	
46-28	omgang	O	
46-29	har	O	
46-30	haft	O	
46-31	et	O	
46-32	tab	O	
46-33	,	O	
46-34	der	O	
46-35	får	O	
46-36	en	O	
46-37	gevinst	O	
46-38	,	O	
46-39	og	O	
46-40	de	O	
46-41	andre	O	
46-42	kommuner	O	
46-43	,	O	
46-44	der	O	
46-45	har	O	
46-46	et	O	
46-47	tab	O	
46-48	.	O	

#id=47
#text=Socialdemokratiet og SF siger,  at det er en skæv skattereform.
47-1	Socialdemokratiet	O	
47-2	og	O	
47-3	SF	O	
47-4	siger	O	
47-5	,	O	
47-6	at	O	
47-7	det	O	
47-8	er	O	
47-9	en	O	
47-10	skæv	O	
47-11	skattereform	O	
47-12	.	O	

#id=48
#text=Derer mulighed for at se på hele medicinområdet, især hvis man også giver kommunerne og regionerne ret til at gå ind i et tæt samarbejde om at udvikle det her område og også at skabe produktion.
48-1	Der	O	
48-2	er	O	
48-3	mulighed	O	
48-4	for	O	
48-5	at	O	
48-6	se	O	
48-7	på	O	
48-8	hele	O	
48-9	medicinområdet	O	
48-10	,	O	
48-11	især	O	
48-12	hvis	O	
48-13	man	O	
48-14	også	O	
48-15	giver	O	
48-16	kommunerne	O	
48-17	og	O	
48-18	regionerne	O	
48-19	ret	O	
48-20	til	O	
48-21	at	O	
48-22	gå	O	
48-23	ind	O	
48-24	i	O	
48-25	et	O	
48-26	tæt	O	
48-27	samarbejde	O	
48-28	om	O	
48-29	at	O	
48-30	udvikle	O	
48-31	det	O	
48-32	her	O	
48-33	område	O	
48-34	og	O	
48-35	også	O	
48-36	at	O	
48-37	skabe	O	
48-38	produktion	O	
48-39	.	O	

#id=49
#text=Så derfor vil jeg gerne starte med at rose ministeren for at have fremsat de forslag, vi behandler i dag.
49-1	Så	O	
49-2	derfor	O	
49-3	vil	O	
49-4	jeg	O	
49-5	gerne	O	
49-6	starte	O	
49-7	med	O	
49-8	at	O	
49-9	rose	O	
49-10	ministeren	O	
49-11	for	O	
49-12	at	O	
49-13	have	O	
49-14	fremsat	O	
49-15	de	O	
49-16	forslag	O	
49-17	,	O	
49-18	vi	O	
49-19	behandler	O	
49-20	i	O	
49-21	dag	O	
49-22	.	O	

#id=50
#text=Det er alt sammen noget, som er med til at give noget af den nødvendige finansiering til, at vi på sigt har fuld finansiering bag skattereformen.
50-1	Det	O	
50-2	er	O	
50-3	alt	O	
50-4	sammen	O	
50-5	noget	O	
50-6	,	O	
50-7	som	O	
50-8	er	O	
50-9	med	O	
50-10	til	O	
50-11	at	O	
50-12	give	O	
50-13	noget	O	
50-14	af	O	
50-15	den	O	
50-16	nødvendige	O	
50-17	finansiering	O	
50-18	til	O	
50-19	,	O	
50-20	at	O	
50-21	vi	O	
50-22	på	O	
50-23	sigt	O	
50-24	har	O	
50-25	fuld	O	
50-26	finansiering	O	
50-27	bag	O	
50-28	skattereformen	O	
50-29	.	O	

#id=51
#text=Det er jo anden gang, vi har skatteministeren oppe på talerstolen i dag, og det er jo sådan lidt ekstraordinært, må man sige.
51-1	Det	O	
51-2	er	O	
51-3	jo	O	
51-4	anden	O	
51-5	gang	O	
51-6	,	O	
51-7	vi	O	
51-8	har	O	
51-9	skatteministeren	O	
51-10	oppe	O	
51-11	på	O	
51-12	talerstolen	O	
51-13	i	O	
51-14	dag	O	
51-15	,	O	
51-16	og	O	
51-17	det	O	
51-18	er	O	
51-19	jo	O	
51-20	sådan	O	
51-21	lidt	O	
51-22	ekstraordinært	O	
51-23	,	O	
51-24	må	O	
51-25	man	O	
51-26	sige	O	
51-27	.	O	

#id=52
#text=Det vil sige, at man bare kan sætte nogle timetal, og så er det op til dem, hvornår de skal tage dem - eksempelvis to ugers arbejde og en uge fri.
52-1	Det	O	
52-2	vil	O	
52-3	sige	O	
52-4	,	O	
52-5	at	O	
52-6	man	O	
52-7	bare	O	
52-8	kan	O	
52-9	sætte	O	
52-10	nogle	O	
52-11	timetal	O	
52-12	,	O	
52-13	og	O	
52-14	så	O	
52-15	er	O	
52-16	det	O	
52-17	op	O	
52-18	til	O	
52-19	dem	O	
52-20	,	O	
52-21	hvornår	O	
52-22	de	O	
52-23	skal	O	
52-24	tage	O	
52-25	dem	O	
52-26	-	O	
52-27	eksempelvis	O	
52-28	to	O	
52-29	ugers	O	
52-30	arbejde	O	
52-31	og	O	
52-32	en	O	
52-33	uge	O	
52-34	fri	O	
52-35	.	O	

#id=53
#text=Når forurettede indgiver anmeldelse til politiet, får forurettede udleveret et ansøgningsskema, som politiet hjælper med at sende videre til Erstatningsnævnet.
53-1	Når	O	
53-2	forurettede	O	
53-3	indgiver	O	
53-4	anmeldelse	O	
53-5	til	O	
53-6	politiet	O	
53-7	,	O	
53-8	får	O	
53-9	forurettede	O	
53-10	udleveret	O	
53-11	et	O	
53-12	ansøgningsskema	O	
53-13	,	O	
53-14	som	O	
53-15	politiet	O	
53-16	hjælper	O	
53-17	med	O	
53-18	at	O	
53-19	sende	O	
53-20	videre	O	
53-21	til	O	
53-22	Erstatningsnævnet	O	
53-23	.	O	

#id=54
#text=Såer der så det punkt, hvor vi reelt har haft en uenighed, og det er det med ønsket om at tilknytte det nye center for energibesparelser til Energistyrelsen.
54-1	Så	O	
54-2	er	O	
54-3	der	O	
54-4	så	O	
54-5	det	O	
54-6	punkt	O	
54-7	,	O	
54-8	hvor	O	
54-9	vi	O	
54-10	reelt	O	
54-11	har	O	
54-12	haft	O	
54-13	en	O	
54-14	uenighed	O	
54-15	,	O	
54-16	og	O	
54-17	det	O	
54-18	er	O	
54-19	det	O	
54-20	med	O	
54-21	ønsket	O	
54-22	om	O	
54-23	at	O	
54-24	tilknytte	O	
54-25	det	O	
54-26	nye	O	
54-27	center	O	
54-28	for	O	
54-29	energibesparelser	O	
54-30	til	O	
54-31	Energistyrelsen	O	
54-32	.	O	

#id=55
#text=Så vil jeg meget opfordre til, at man også tager andre lande med ind i billedet, for jeg synes, at det, der også er vigtigt ved tillægsprotokollen, jo ikke lige er, hvad der foregår i Danmark alene, det er altså også, at vi kan være med til at påvirke, hvad der foregår i andre lande.
55-1	Så	O	
55-2	vil	O	
55-3	jeg	O	
55-4	meget	O	
55-5	opfordre	O	
55-6	til	O	
55-7	,	O	
55-8	at	O	
55-9	man	O	
55-10	også	O	
55-11	tager	O	
55-12	andre	O	
55-13	lande	O	
55-14	med	O	
55-15	ind	O	
55-16	i	O	
55-17	billedet	O	
55-18	,	O	
55-19	for	O	
55-20	jeg	O	
55-21	synes	O	
55-22	,	O	
55-23	at	O	
55-24	det	O	
55-25	,	O	
55-26	der	O	
55-27	også	O	
55-28	er	O	
55-29	vigtigt	O	
55-30	ved	O	
55-31	tillægsprotokollen	O	
55-32	,	O	
55-33	jo	O	
55-34	ikke	O	
55-35	lige	O	
55-36	er	O	
55-37	,	O	
55-38	hvad	O	
55-39	der	O	
55-40	foregår	O	
55-41	i	O	
55-42	Danmark	O	
55-43	alene	O	
55-44	,	O	
55-45	det	O	
55-46	er	O	
55-47	altså	O	
55-48	også	O	
55-49	,	O	
55-50	at	O	
55-51	vi	O	
55-52	kan	O	
55-53	være	O	
55-54	med	O	
55-55	til	O	
55-56	at	O	
55-57	påvirke	O	
55-58	,	O	
55-59	hvad	O	
55-60	der	O	
55-61	foregår	O	
55-62	i	O	
55-63	andre	O	
55-64	lande	O	
55-65	.	O	

#id=56
#text=Og sådan som det lyser ud af det socialdemokratiske finanslovforslag, er Socialdemokraterne også bekymrede for her og nu-situationen, altså at arbejdsløsheden bider sig fast, men vi er sandelig også meget bekymrede for, hvordan det ser ud sådan på mellemlang sigt.
56-1	Og	O	
56-2	sådan	O	
56-3	som	O	
56-4	det	O	
56-5	lyser	O	
56-6	ud	O	
56-7	af	O	
56-8	det	O	
56-9	socialdemokratiske	O	
56-10	finanslovforslag	O	
56-11	,	O	
56-12	er	O	
56-13	Socialdemokraterne	O	
56-14	også	O	
56-15	bekymrede	O	
56-16	for	O	
56-17	her	O	
56-18	og	O	
56-19	nu	O	
56-20	-	O	
56-21	situationen	O	
56-22	,	O	
56-23	altså	O	
56-24	at	O	
56-25	arbejdsløsheden	O	
56-26	bider	O	
56-27	sig	O	
56-28	fast	O	
56-29	,	O	
56-30	men	O	
56-31	vi	O	
56-32	er	O	
56-33	sandelig	O	
56-34	også	O	
56-35	meget	O	
56-36	bekymrede	O	
56-37	for	O	
56-38	,	O	
56-39	hvordan	O	
56-40	det	O	
56-41	ser	O	
56-42	ud	O	
56-43	sådan	O	
56-44	på	O	
56-45	mellemlang	O	
56-46	sigt	O	
56-47	.	O	

#id=57
#text=Det, jeg med glæde har konstateret, er, at regeringspartiernes mange spørgere overhovedet ikke har ønsket _ eller evnet eller magtet _ at tage en politisk debat om indholdet.
57-1	Det	O	
57-2	,	O	
57-3	jeg	O	
57-4	med	O	
57-5	glæde	O	
57-6	har	O	
57-7	konstateret	O	
57-8	,	O	
57-9	er	O	
57-10	,	O	
57-11	at	O	
57-12	regeringspartiernes	O	
57-13	mange	O	
57-14	spørgere	O	
57-15	overhovedet	O	
57-16	ikke	O	
57-17	har	O	
57-18	ønsket	O	
57-19	_	O	
57-20	eller	O	
57-21	evnet	O	
57-22	eller	O	
57-23	magtet	O	
57-24	_	O	
57-25	at	O	
57-26	tage	O	
57-27	en	O	
57-28	politisk	O	
57-29	debat	O	
57-30	om	O	
57-31	indholdet	O	
57-32	.	O	

#id=58
#text=Medden her  300-timers-regel, som bliver lavet om til en 450-timers-regel, er vi også med til at skabe en fattigdom, hvor mange mennesker vil ende fuldstændig uden for samfundet.
58-1	Med	O	
58-2	den	O	
58-3	her	O	
58-4	300	O	
58-5	-	O	
58-6	timers	O	
58-7	-	O	
58-8	regel	O	
58-9	,	O	
58-10	som	O	
58-11	bliver	O	
58-12	lavet	O	
58-13	om	O	
58-14	til	O	
58-15	en	O	
58-16	450	O	
58-17	-	O	
58-18	timers	O	
58-19	-	O	
58-20	regel	O	
58-21	,	O	
58-22	er	O	
58-23	vi	O	
58-24	også	O	
58-25	med	O	
58-26	til	O	
58-27	at	O	
58-28	skabe	O	
58-29	en	O	
58-30	fattigdom	O	
58-31	,	O	
58-32	hvor	O	
58-33	mange	O	
58-34	mennesker	O	
58-35	vil	O	
58-36	ende	O	
58-37	fuldstændig	O	
58-38	uden	O	
58-39	for	O	
58-40	samfundet	O	
58-41	.	O	

#id=59
#text=Det må i hvert fald være inden for det muliges kunst, at regeringen selv bestemmer sig for at søge Folketingets tilslutning til sin udenrigspolitik.
59-1	Det	O	
59-2	må	O	
59-3	i	O	
59-4	hvert	O	
59-5	fald	O	
59-6	være	O	
59-7	inden	O	
59-8	for	O	
59-9	det	O	
59-10	muliges	O	
59-11	kunst	O	
59-12	,	O	
59-13	at	O	
59-14	regeringen	O	
59-15	selv	O	
59-16	bestemmer	O	
59-17	sig	O	
59-18	for	O	
59-19	at	O	
59-20	søge	O	
59-21	Folketingets	O	
59-22	tilslutning	O	
59-23	til	O	
59-24	sin	O	
59-25	udenrigspolitik	O	
59-26	.	O	

#id=60
#text=Det trængte det også til.
60-1	Det	O	
60-2	trængte	O	
60-3	det	O	
60-4	også	O	
60-5	til	O	
60-6	.	O	

#id=61
#text=Kommunerne ville hver for sig skulle opbygge inddrivelsesforvaltninger og kanalisere ressourcer og medarbejdere til opgaven.
61-1	Kommunerne	O	
61-2	ville	O	
61-3	hver	O	
61-4	for	O	
61-5	sig	O	
61-6	skulle	O	
61-7	opbygge	O	
61-8	inddrivelsesforvaltninger	O	
61-9	og	O	
61-10	kanalisere	O	
61-11	ressourcer	O	
61-12	og	O	
61-13	medarbejdere	O	
61-14	til	O	
61-15	opgaven	O	
61-16	.	O	

#id=62
#text=Er det den kurs, som SF's finansordfører vil stå på mål for som den faste kurs for den nye finanspolitik, hvis SF's finansordfører skulle gå hen og blive finansminister?
62-1	Er	O	
62-2	det	O	
62-3	den	O	
62-4	kurs	O	
62-5	,	O	
62-6	som	O	
62-7	SF	O	
62-8	'	O	
62-9	s	O	
62-10	finansordfører	O	
62-11	vil	O	
62-12	stå	O	
62-13	på	O	
62-14	mål	O	
62-15	for	O	
62-16	som	O	
62-17	den	O	
62-18	faste	O	
62-19	kurs	O	
62-20	for	O	
62-21	den	O	
62-22	nye	O	
62-23	finanspolitik	O	
62-24	,	O	
62-25	hvis	O	
62-26	SF	O	
62-27	'	O	
62-28	s	O	
62-29	finansordfører	O	
62-30	skulle	O	
62-31	gå	O	
62-32	hen	O	
62-33	og	O	
62-34	blive	O	
62-35	finansminister	O	
62-36	?	O	

#id=63
#text=Jeg finder det bestemt ikke hensigtsmæssigt, at meget syge patienter flyttes mellem sygehusenes intensivafdelinger, og jeg mener også, at vi skal forsøge at begrænse tilfældene så meget som overhovedet muligt.
63-1	Jeg	O	
63-2	finder	O	
63-3	det	O	
63-4	bestemt	O	
63-5	ikke	O	
63-6	hensigtsmæssigt	O	
63-7	,	O	
63-8	at	O	
63-9	meget	O	
63-10	syge	O	
63-11	patienter	O	
63-12	flyttes	O	
63-13	mellem	O	
63-14	sygehusenes	O	
63-15	intensivafdelinger	O	
63-16	,	O	
63-17	og	O	
63-18	jeg	O	
63-19	mener	O	
63-20	også	O	
63-21	,	O	
63-22	at	O	
63-23	vi	O	
63-24	skal	O	
63-25	forsøge	O	
63-26	at	O	
63-27	begrænse	O	
63-28	tilfældene	O	
63-29	så	O	
63-30	meget	O	
63-31	som	O	
63-32	overhovedet	O	
63-33	muligt	O	
63-34	.	O	

#id=64
#text=Jeg vil sige det på den måde, at man jo altid kan diskutere, om man kunne have gjort det bedre, men man er jo også nødt til at se på, hvad alternativet er, og det var jeg inde på i ordførertalen.
64-1	Jeg	O	
64-2	vil	O	
64-3	sige	O	
64-4	det	O	
64-5	på	O	
64-6	den	O	
64-7	måde	O	
64-8	,	O	
64-9	at	O	
64-10	man	O	
64-11	jo	O	
64-12	altid	O	
64-13	kan	O	
64-14	diskutere	O	
64-15	,	O	
64-16	om	O	
64-17	man	O	
64-18	kunne	O	
64-19	have	O	
64-20	gjort	O	
64-21	det	O	
64-22	bedre	O	
64-23	,	O	
64-24	men	O	
64-25	man	O	
64-26	er	O	
64-27	jo	O	
64-28	også	O	
64-29	nødt	O	
64-30	til	O	
64-31	at	O	
64-32	se	O	
64-33	på	O	
64-34	,	O	
64-35	hvad	O	
64-36	alternativet	O	
64-37	er	O	
64-38	,	O	
64-39	og	O	
64-40	det	O	
64-41	var	O	
64-42	jeg	O	
64-43	inde	O	
64-44	på	O	
64-45	i	O	
64-46	ordførertalen	O	
64-47	.	O	

#id=65
#text=Derudoversynes vi, at det ville være fantastisk, hvis man kunne indføre en børneombudsmand i hver eneste af Kriminalforsorgens institutioner, altså en konkret person, som ved rigtig meget om børn og hele tiden har fokus på at se fængslet fra et børneperspektiv.
65-1	Derudover	O	
65-2	synes	O	
65-3	vi	O	
65-4	,	O	
65-5	at	O	
65-6	det	O	
65-7	ville	O	
65-8	være	O	
65-9	fantastisk	O	
65-10	,	O	
65-11	hvis	O	
65-12	man	O	
65-13	kunne	O	
65-14	indføre	O	
65-15	en	O	
65-16	børneombudsmand	O	
65-17	i	O	
65-18	hver	O	
65-19	eneste	O	
65-20	af	O	
65-21	Kriminalforsorgens	O	
65-22	institutioner	O	
65-23	,	O	
65-24	altså	O	
65-25	en	O	
65-26	konkret	O	
65-27	person	O	
65-28	,	O	
65-29	som	O	
65-30	ved	O	
65-31	rigtig	O	
65-32	meget	O	
65-33	om	O	
65-34	børn	O	
65-35	og	O	
65-36	hele	O	
65-37	tiden	O	
65-38	har	O	
65-39	fokus	O	
65-40	på	O	
65-41	at	O	
65-42	se	O	
65-43	fængslet	O	
65-44	fra	O	
65-45	et	O	
65-46	børneperspektiv	O	
65-47	.	O	

#id=66
#text=Tak.
66-1	Tak	O	
66-2	.	O	

#id=67
#text=Detfår mig så til at vende tilbage til, at skattereformen efter min mening ikke er socialt afbalanceret.
67-1	Det	O	
67-2	får	O	
67-3	mig	O	
67-4	så	O	
67-5	til	O	
67-6	at	O	
67-7	vende	O	
67-8	tilbage	O	
67-9	til	O	
67-10	,	O	
67-11	at	O	
67-12	skattereformen	O	
67-13	efter	O	
67-14	min	O	
67-15	mening	O	
67-16	ikke	O	
67-17	er	O	
67-18	socialt	O	
67-19	afbalanceret	O	
67-20	.	O	

#id=68
#text=Bliv væk _ også jer, der er fredelige, jer, der gerne vil ud at kæmpe for en bedre jord, der gerne vil ud at kæmpe klimasagens kamp, der er bekymrede for, at mennesker dør af sult, fordi Jorden bliver overophedet, og at lande går  til, fordi vandstanden stiger.
68-1	Bliv	O	
68-2	væk	O	
68-3	_	O	
68-4	også	O	
68-5	jer	O	
68-6	,	O	
68-7	der	O	
68-8	er	O	
68-9	fredelige	O	
68-10	,	O	
68-11	jer	O	
68-12	,	O	
68-13	der	O	
68-14	gerne	O	
68-15	vil	O	
68-16	ud	O	
68-17	at	O	
68-18	kæmpe	O	
68-19	for	O	
68-20	en	O	
68-21	bedre	O	
68-22	jord	O	
68-23	,	O	
68-24	der	O	
68-25	gerne	O	
68-26	vil	O	
68-27	ud	O	
68-28	at	O	
68-29	kæmpe	O	
68-30	klimasagens	O	
68-31	kamp	O	
68-32	,	O	
68-33	der	O	
68-34	er	O	
68-35	bekymrede	O	
68-36	for	O	
68-37	,	O	
68-38	at	O	
68-39	mennesker	O	
68-40	dør	O	
68-41	af	O	
68-42	sult	O	
68-43	,	O	
68-44	fordi	O	
68-45	Jorden	O	
68-46	bliver	O	
68-47	overophedet	O	
68-48	,	O	
68-49	og	O	
68-50	at	O	
68-51	lande	O	
68-52	går	O	
68-53	til	O	
68-54	,	O	
68-55	fordi	O	
68-56	vandstanden	O	
68-57	stiger	O	
68-58	.	O	

#id=69
#text=Førstog fremmest tak til udenrigsministeren for et oplysende og præcist svar på forespørgslen, der er udgangspunktet for dagens debat om udviklingen i Bulgarien og Rumænien.
69-1	Først	O	
69-2	og	O	
69-3	fremmest	O	
69-4	tak	O	
69-5	til	O	
69-6	udenrigsministeren	O	
69-7	for	O	
69-8	et	O	
69-9	oplysende	O	
69-10	og	O	
69-11	præcist	O	
69-12	svar	O	
69-13	på	O	
69-14	forespørgslen	O	
69-15	,	O	
69-16	der	O	
69-17	er	O	
69-18	udgangspunktet	O	
69-19	for	O	
69-20	dagens	O	
69-21	debat	O	
69-22	om	O	
69-23	udviklingen	O	
69-24	i	O	
69-25	Bulgarien	O	
69-26	og	O	
69-27	Rumænien	O	
69-28	.	O	

#id=70
#text=I vores retssystem er der helt særlige regler, og der skal vi og vil vi ikke bøje os.
70-1	I	O	
70-2	vores	O	
70-3	retssystem	O	
70-4	er	O	
70-5	der	O	
70-6	helt	O	
70-7	særlige	O	
70-8	regler	O	
70-9	,	O	
70-10	og	O	
70-11	der	O	
70-12	skal	O	
70-13	vi	O	
70-14	og	O	
70-15	vil	O	
70-16	vi	O	
70-17	ikke	O	
70-18	bøje	O	
70-19	os	O	
70-20	.	O	

#id=71
#text=Men det er også et område, som vi fra Dansk Folkepartis side holder meget øje med, og hvis det viser sig, at kommunerne også der begynder at tage helt urimelige priser, hvilket vi f.eks. har set med hensyn til ældremaden i Egedal Kommune, så er det også noget, vi vil tage fat i.
71-1	Men	O	
71-2	det	O	
71-3	er	O	
71-4	også	O	
71-5	et	O	
71-6	område	O	
71-7	,	O	
71-8	som	O	
71-9	vi	O	
71-10	fra	O	
71-11	Dansk	O	
71-12	Folkepartis	O	
71-13	side	O	
71-14	holder	O	
71-15	meget	O	
71-16	øje	O	
71-17	med	O	
71-18	,	O	
71-19	og	O	
71-20	hvis	O	
71-21	det	O	
71-22	viser	O	
71-23	sig	O	
71-24	,	O	
71-25	at	O	
71-26	kommunerne	O	
71-27	også	O	
71-28	der	O	
71-29	begynder	O	
71-30	at	O	
71-31	tage	O	
71-32	helt	O	
71-33	urimelige	O	
71-34	priser	O	
71-35	,	O	
71-36	hvilket	O	
71-37	vi	O	
71-38	f	O	
71-39	.	O	
71-40	eks	O	
71-41	.	O	
71-42	har	O	
71-43	set	O	
71-44	med	O	
71-45	hensyn	O	
71-46	til	O	
71-47	ældremaden	O	
71-48	i	O	
71-49	Egedal	O	
71-50	Kommune	O	
71-51	,	O	
71-52	så	O	
71-53	er	O	
71-54	det	O	
71-55	også	O	
71-56	noget	O	
71-57	,	O	
71-58	vi	O	
71-59	vil	O	
71-60	tage	O	
71-61	fat	O	
71-62	i	O	
71-63	.	O	

#id=72
#text=Villy Søvndals hukommelse er uendelig kort i den her sammenhæng.
72-1	Villy	O	
72-2	Søvndals	O	
72-3	hukommelse	O	
72-4	er	O	
72-5	uendelig	O	
72-6	kort	O	
72-7	i	O	
72-8	den	O	
72-9	her	O	
72-10	sammenhæng	O	
72-11	.	O	

#id=73
